「実験心理学の父」と呼ばれるドイツ人心理学者。内観法を重視した。,ヴィルヘルム・ヴント,
ドイツの作曲家・オルガン奏者。バッハの子の中では最も豊かな才能を示したが、その不安定な性格故に成功しなかった。J.S.バッハの『クラビア小曲集』は彼のために作曲されたとされる。,ヴィルヘルム・フリーデマン・バッハ,
現代アメリカ音楽の発展のために活動した、フランス生まれの作曲家。消防車用サイレンを用いた『電離』や『積分』、騒音主義の代表作とされる『イオニザシオン』などの作品が知られる。,エドガー・ヴァレーズ,
ワグネリアンとして知られた、オーストリアの作曲家。代表曲は交響曲第3番『ワーグナー』や4番『ロマンティック』など。,アントン・ブルックナー,
イタリア・バロックを代表する音楽家。その髪色から「赤毛の司祭」と呼ばれた。バイオリン協奏曲『和声と創意の試み』の第1~4曲『四季』がよく知られる。,アントニオ・ヴィヴァルディ,
スメタナと共にチェコの国民音楽を築き上げた作曲家。『スラヴ舞曲』や渡米した際に制作した交響曲『新世界より』などの作品で知られる。,アントニーン・ドヴォルザーク,
16世紀以降のイギリス国教会で礼拝式の際に用いられてきた合唱曲。合唱のみのフルやソロのパートがあるバースなどの種類がある。,アンセム,
スペインの作曲家。代表曲は『イベリア組曲』や「スペイン組曲』など。,イサーク・アルベニス,
オーストリア・新ウィーン楽派の作曲家。マーラーの未亡人アルマとグロピウスの娘の夭逝を悼んで作曲された『バイオリン協奏曲』や未完のオペラ『ルル』などの作品で知られる。,アルバン・ベルク,
17世紀イタリアの音楽家。代表曲は『クリスマス協奏曲』や『ラ・フォリア』など。トリオ・ソナタを確立した功績でも知られる。,アルカンジェロ・コレッリ,
「アメリカ近代音楽の父」とも称される作曲家。1947年に交響曲第3番『キャンプの集い』でピューリッツァー賞を受賞している。,チャールズ・アイヴス,
ロシア五人組の指導的役割を果たした作曲家。交響詩『ロシア』や『タマーラ』などの作品で知られる。,ミリイ・バラキレフ,
フランスの作曲家。オペラ『ウェルテル』や『タイス』などで知られる。パリ音楽院教授としてピエルネやシャルパンティエなど多くの作曲家を育成した。,ジュール・マスネ,
管弦楽曲『グリーンスリーヴズによる幻想曲』を作曲した、イギリスの音楽家。,ボーン・ウィリアムズ,
ベルギー出身の作曲家。代表曲は『天使の糧』『ヴァイオリンソナタ』『前奏曲、コラールとフーガ』など。,セザール・フランク,
フランスの作曲家。代表曲は『シシリエンヌ』『パヴァーヌ』『夢のあとに』など。,ガブリエル・フォーレ,
オーストリアの作曲家。代表作は『軽騎兵』『ボッカチオ』など。,フランツ・フォン・スッペ,
「近代ギター音楽の父」と呼ばれるスペインの音楽家。代表曲は『アルハンブラの思い出』など。,フランシスコ・タレガ,
スペインの作曲家・ヴァイオリン奏者。代表曲は『ツィゴイネルワイゼン』『カルメン幻想曲』など。,パブロ・デ・サラサーテ,
その作風から「ハイドンの妻」と呼ばれた、イタリアの作曲家。『メヌエット』などが有名。,ルイジ・ボッケリーニ,
アメリカのトロンボーン奏者。『口笛吹きと犬』が有名。,アーサー・プライアー,
ポーランド出身の作曲家。ピアノ曲『乙女の祈り』で知られる。,テクラ・バダジェフスカ,
ノルウェーの作曲家。『ペール・ギュント』『山の魔王の宮殿にて』などで知られる。,エドヴァルド・グリーグ,
「ラグタイムの王」と呼ばれるアメリカの作曲家。代表曲は『ジ・エンターテイナー』など。,スコット・ジョプリン,
アメリカの作曲家。行進曲『アメリカン・パトロール』で有名。,フランク・W・ミーチャム,
イタリアの作曲家。『チャルダッシュ』が有名。,ヴィットリーオ・モンティ,
ドイツの作曲家。『三文オペラ』を妻の主演で上演した。,クルト・ヴァイル,
オーストリアの作曲家。『モーツァルトの子守唄』の作曲で知られる。,ベルンハルト・フリース,
フランス・ロマン派の作曲家。代表作は『コッペリア』『ラクメ』など。,レオ・ドリーブ,
チェコの作曲家。『思い出』で知られる。,フランティシェク・ドルドラ,
イタリアのオペラ作曲家。オペラ『ジョコンダ』の『時の踊り』などで知られる。,アミルカレ・ポンキエッリ,
イタリアの作曲家。交響詩『ローマの泉（噴水）』『ローマの松』『ローマの祭』の「ローマ三部作」で有名。,オットリーノ・レスピーギ,
アメリカの作曲家。代表曲は『草競馬』『オールド・ブラック・ジョー』『おおスザンナ』など。,スティーブン・フォスター,
オーストリアの作曲家。軍隊行進曲『双頭の鷲の旗の下に』で知られる。,ヨーゼフ・フランツ・ワーグナー,
